id,code,name
edu_inst_140815118,140815118,Alfredo Jose Maria Rocha Zegarra
edu_inst_140815134,140815134,San Agustin - Jaen
edu_inst_140815217,140815217,Curahuasi
edu_inst_140817510,140817510,Colonia Del Caco
edu_inst_140849364,140849364,San Marcos - Huari
edu_inst_140886499,140886499,Fernando Leon De Vivero
edu_inst_140891804,140891804,Castilla
edu_inst_140905349,140905349,Vicente Ferrer
edu_inst_140905372,140905372,Antonio Raimondi - Yungay
edu_inst_140911891,140911891,De Llamellin
edu_inst_140918136,140918136,Tsamajain
edu_inst_140920116,140920116,Jose Maria Arguedas - Huancayo
edu_inst_140920736,140920736,De Concepcion
edu_inst_140920769,140920769,Mario Gutierrez Lopez
edu_inst_140929497,140929497,Vilcabamba
edu_inst_140930024,140930024,Chalhuanca
edu_inst_140930230,140930230,Hermenegildo Miranda Segovia
edu_inst_140931022,140931022,Anta
edu_inst_140932384,140932384,Clorinda Matto De Turner
edu_inst_140934570,140934570,Manu
edu_inst_140934638,140934638,Iberia-Tahuamanu
edu_inst_140936096,140936096,Teodoro Rivera Taype
edu_inst_140936708,140936708,Meseta De Bombon
edu_inst_140937417,140937417,Pichanaki
edu_inst_140937656,140937656,San Martin De Pangoa
edu_inst_141001783,141001783,Rio Santa
edu_inst_141001940,141001940,Virgen De Guadalupe-Santa
edu_inst_141016286,141016286,Ricardo Ramos Plata
edu_inst_141016401,141016401,Canchaque
edu_inst_141016443,141016443,Santo Domingo De Guzman - Morropón
edu_inst_141016484,141016484,Manuel Yarleque Espinoza
edu_inst_141023514,141023514,Pedro Vilcapaza
edu_inst_141024785,141024785,Macusani
edu_inst_141025089,141025089,De Cabanillas
edu_inst_141025279,141025279,Acora
edu_inst_141025691,141025691,Huancane
edu_inst_141025824,141025824,Muñani
edu_inst_141026319,141026319,Andres Avelino Caceres - San Antonio De Putina- Puno
edu_inst_141027085,141027085,Ilave
edu_inst_141028919,141028919,San Juan Del Oro
edu_inst_141029297,141029297,De Yunguyo
edu_inst_141029404,141029404,Desaguadero
edu_inst_141032440,141032440,De La Joya
edu_inst_141042571,141042571,Narciso Villanueva Manzo
edu_inst_141058155,141058155,Castrovirreyna
edu_inst_141058650,141058650,Ticrapo
edu_inst_141058742,141058742,Aurahua
edu_inst_141060110,141060110,Manuel Scorza Torre
edu_inst_141060425,141060425,Señor De Gualamita
edu_inst_141064971,141064971,Manuel Seoane Corrales
edu_inst_141065010,141065010,Juan Velasco Alvarado
edu_inst_141065051,141065051,Misioneros Monfortianos
edu_inst_141065093,141065093,San Pedro Del Valle De Mala
edu_inst_141065135,141065135,Antenor Orrego Espinoza
edu_inst_141065176,141065176,Luis Negreiros Vega
edu_inst_141065218,141065218,Oyon
edu_inst_141065259,141065259,Ramiro Priale Priale
edu_inst_141065291,141065291,Huaycan
edu_inst_141065333,141065333,Villa Maria
edu_inst_141065499,141065499,Arturo Sabroso Montoya
edu_inst_141065531,141065531,Cañete
edu_inst_141065572,141065572,Carlos Cueto Fernandini
edu_inst_141065614,141065614,San Francisco De Asis - Lima
edu_inst_141065655,141065655,Manuel Arevalo Caceres
edu_inst_141065697,141065697,Pacaran
edu_inst_141065739,141065739,Amauta Julio C. Tello
edu_inst_141081116,141081116,Alto Huallaga
edu_inst_141081157,141081157,Francisco Vigo Caballero
edu_inst_141101195,141101195,San Luis-Carlos Fermin Fitzcarrald
edu_inst_141101633,141101633,Carhuaz
edu_inst_141101641,141101641,Señor De La Divina Misericordia
edu_inst_141102722,141102722,Jaime Cerron Palomino
edu_inst_141102763,141102763,9 De Mayo
edu_inst_141114412,141114412,Escuela Nacional De Archiveros
edu_inst_141116177,141116177,Jorge Basadre - Islay
edu_inst_141116557,141116557,Nasca
edu_inst_141121789,141121789,Padre Abad
edu_inst_141122308,141122308,Masisea
edu_inst_141124601,141124601,Cenfotur-Centro De Formacion En Turismo
edu_inst_141124833,141124833,Pacaraos
edu_inst_141124957,141124957,Chancay
edu_inst_141126457,141126457,De Los Andes-Mariscal Nieto
edu_inst_141127349,141127349,Omate
edu_inst_141128156,141128156,Jorge Basadre Grohman - Tambopata
edu_inst_141138270,141138270,24 De Julio De Zarumilla
edu_inst_141142108,141142108,Hatun Soras
edu_inst_141144450,141144450,Contralmirante Manuel Villar Olivera
edu_inst_141145002,141145002,Paucar Del Sarasara
edu_inst_141145309,141145309,Damaso Laberge
edu_inst_141145713,141145713,Jose Maria Arguedas - Lucanas
edu_inst_141147669,141147669,De El Estrecho-Rio Putumayo
edu_inst_141148113,141148113,Lagunas
edu_inst_141149459,141149459,Manos Unidas
edu_inst_141150861,141150861,Fernando Lores Tenazoa
edu_inst_141153519,141153519,Amazonas - Yurimaguas
edu_inst_141155860,141155860,Manuel Jesus Diaz Murrugarra
edu_inst_141158385,141158385,Ciudad Eten
edu_inst_141158914,141158914,Enrique Lopez Albujar
edu_inst_141158922,141158922,Edilberto Rivas Vasquez
edu_inst_141160159,141160159,Alberto Pumayalla Diaz
edu_inst_141160175,141160175,Alexander Von Humboldt
edu_inst_141165349,141165349,Hector Vasquez Jimenez
edu_inst_141166560,141166560,Otuzco
edu_inst_141167220,141167220,Ascope
edu_inst_141167923,141167923,Mache
edu_inst_141172436,141172436,Laredo
edu_inst_141175223,141175223,Javier Pulgar Vidal
edu_inst_141175371,141175371,Ricardo Salinas Vara
edu_inst_141175413,141175413,Tinyash
edu_inst_141175454,141175454,Puerto Inca
edu_inst_141177336,141177336,Glicerio Gomez Igarza
edu_inst_141180363,141180363,Juan Jose Farfan Cespedes
edu_inst_141180405,141180405,Señor De Chocan
edu_inst_141180561,141180561,Luciano Castillo Colonna
edu_inst_141180686,141180686,Luis F. Agurto Olaya
edu_inst_141180728,141180728,Simon Bolivar - Paita
edu_inst_141180801,141180801,Ayabaca
edu_inst_141180843,141180843,Lizardo Montero Flores
edu_inst_141187830,141187830,Federico Gonzales Cabezudo
edu_inst_141193135,141193135,Viru
edu_inst_141195890,141195890,Illimo
edu_inst_141198217,141198217,Manuel Antonio Hierro Pozo
edu_inst_141203520,141203520,Chala
edu_inst_141206630,141206630,Centro De Formacion Profesional Binacional
edu_inst_141206671,141206671,Juan Esteban Lopez Cruz
edu_inst_141208073,141208073,Morropon
edu_inst_141214147,141214147,Heroes De Sierra Lumi
edu_inst_141219146,141219146,Federico Uranga
edu_inst_141225325,141225325,Yatraywasi
edu_inst_141232610,141232610,Canta
edu_inst_141249077,141249077,Magda Portal - Cieneguilla
edu_inst_141249192,141249192,Simon Sanchez Reyes
edu_inst_141249796,141249796,Puerto Libre
edu_inst_141257369,141257369,Alianza Renovada Ichuña Belgica
edu_inst_141274364,141274364,Peruano Español
edu_inst_141276492,141276492,Mañazo
edu_inst_141280668,141280668,La Cantuta
edu_inst_141302363,141302363,Copacabana
edu_inst_141303502,141303502,Purus
edu_inst_141313402,141313402,San Pedro - Corongo
edu_inst_141314061,141314061,Ashaninka
edu_inst_141316520,141316520,Cabana
edu_inst_141327253,141327253,Alfredo Sarmiento Palomino
edu_inst_141327295,141327295,Velille
edu_inst_141328970,141328970,Chalhuahuacho
edu_inst_141328988,141328988,Haquira
